Gene	cluster
COMMD2	17
PAPSS2	3
C1orf226	1
C1orf174	9
DET1	4
C1orf159	2
BCL10	6
USPL1	2
TTC39C	10
C1orf122	17
SELENOW	17
ANKMY2	19
C1RL-AS1	1
DYNC1H1	14
PNRC2	9
TAC3	3
C1QTNF6	1
ZNF460	23
POMK	2
VAV3	10
GRAMD1B	5
CD6	1
ARRDC2	7
PIP5KL1	1
ZNF395	16
C3orf20	1
API5	2
RND3	3
HIP1	7
DNMT3B	3
SMN1	1
JUND	14
C1D	17
LRRC8B	10
ATP8B2	2
C19orf47	6
NXPH1	10
C19orf38	1
DDX20	6
LMX1B	3
C19orf12	2
GAR1	9
DIP2B	10
XYLT2	18
SYVN1	6
UBAP1L	5
ADAR	14
ANKRD50	8
GDPD5	3
SNIP1	6
CREG1	2
TMED4	17
ASB7	2
RGMB	3
CAPN1	16
DBT	2
C17orf100	4
SHROOM3	10
MTHFD2	3
CHCHD1	9
CLNS1A	5
TNR	10
VEPH1	3
LAS1L	2
ZNF12	6
CCT2	17
INCENP	4
CHST2	6
CDH4	10
POLR2E	9
PSMC5	9
ARX	3
PRDX2	17
C14orf93	1
NAA30	2
DDX54	3
C14orf132	19
C14orf28	6
C12orf76	17
KRTAP5-10	1
SRI	17
CCDC28A	2
NFIB	10
MLH3	5
C12orf57	17
PARP9	3
FAHD2A	4
CIAPIN1	9
CFAP46	2
ZNF37A	2
N4BP2L2-IT2	4
AHNAK2	23
ITPA	9
CNNM3	1
MID1	7
CTSZ	3
KCTD5	1
CAPN3	7
FDXR	9
ACVR1	19
ATN1	2
MISP	1
PSMD6-AS2	1
NEK1	5
TATDN1	5
FRMPD1	3
FBXO11	5
MCM3	11
IRF5	1
HBQ1	15
ACTC1	6
PHKB	10
INSM1	3
C6orf226	6
LITAF	3
SSR3	17
ARHGAP29	3
E2F3	20
SMAP2	5
DNMT1	17
IL17RE	3
RNFT2	2
EFNA1	3
MGAT2	6
RAB24	16
MTERF1	5
TYW5	2
BVES-AS1	3
PIM3	3
PTPRM	10
PANK1	2
EIF3L	12
BTN3A3	3
BRAF	10
C2orf50	3
MTX3	2
NUDT16	9
CYP2U1	16
DYNC2H1	5
LKAAEAR1	6
BTN3A1	3
BTF3	12
BTAF1	5
BTBD9	10
ZNF516	7
BTBD3	5
BTBD2	2
NCK2	2
BTBD17	3
PCGF3	18
CCDC134	3
BTBD10	5
CALY	14
GAA	4
BTBD1	17
CHDH	3
NRDC	5
EFTUD2	2
NCK1	2
SLTM	5
KREMEN2	1
RPS6KA5	10
BSDC1	16
B3GALT2	14
ICA1	10
NPRL3	19
PLCB2	1
PRKCQ	3
ATP1A2	3
BRPF3	4
CHAC1	6
BRIP1	11
PEAK1	10
BRF1	2
INPP1	2
HSF1	4
BCDIN3D-AS1	1
SIRT7	4
HNRNPR	17
BRD3	6
BRD1	2
CTDSP2	4
BRCC3	2
FILIP1	3
SLC29A3	18
BORCS7	9
ANTXR1	10
NXT2	6
DCK	6
GRIK1	10
ACTR10	17
CCDC73	1
CTXN2	6
ATP2A3	3
PIKFYVE	5
FITM1	1
CEP128	5
NUDT3	16
BNIP2	6
LRRC17	4
MED28	2
CD58	3
BMT2	5
GUF1	2
BMPR2	10
ZFP2	4
CACNB1	6
C19orf25	9
PDE1B	8
BMPR1A	5
PPP1R9B	6
KCNC4	3
BCAT2	3
CST3	14
HCST	3
TYSND1	4
ITGA11	3
FBXL6	4
BMP2K	25
AIP	9
NEMP2	1
TUBB2B	12
MAGEL2	3
PCF11	2
MAP2K7	4
EIF3J	17
MSTO1	1
LRRC23	4
FAM8A1	18
PPP6R2	5
CES2	4
SYT17	3
NECAB3	23
PGD	9
SLCO3A1	10
GPM6A	10
BLVRA	9
ONECUT2	8
BLOC1S1	15
KIFC2	19
P4HTM	16
AMOTL2	4
IQGAP2	3
POLK	5
DNAJC10	5
CHD2	10
CLPTM1	2
SLC7A2	3
BLCAP	14
ITGA2B	1
CDK2AP1	15
TUT1	1
CCAR2	6
BISPR	1
DOCK10	10
BIRC6	10
DGKB	10
BMP6	8
PTGFRN	3
MFHAS1	5
CSGALNACT1	10
BIN1	19
BHLHE41	3
MRPS28	2
PFN2	12
MAL2	19
BFSP1	1
ANPEP	3
CRTAP	4
SEMA4D	7
HGS	4
BEX3	17
BEX1	17
SNX12	6
ATG2B	5
MAGIX	1
NT5C2	10
CARMIL2	15
BEST1	3
ENOPH1	17
ARSA	4
KIAA0753	20
BEND5	6
BEND3	1
BEGAIN	2
C10orf95	1
CLUH	4
SPTAN1	10
DNAH2	3
FBXO16	19
PCDHGB2	1
BDNF-AS	7
IRF9	6
DLAT	2
BDNF	13
SLC25A39	4
CHAF1B	4
BDH2	3
MEI1	3
BDH1	19
ATF7IP2	10
COPZ2	1
POP7	9
ATP6V0E2-AS1	1
FOXM1	11
ACACA	10
TMEM163	5
BCOR	6
AACS	19
CCNJL	3
AGPS	5
DCUN1D4	5
HHAT	20
F3	3
GOLGA3	19
BCL2L12	1
METRNL	3
DDX21	17
CCDC122	7
CDH1	3
GATA2	3
BAZ2B	10
PSKH1	1
DNASE1L1	1
BCL11B	10
HINT3	2
FHIT	10
RN7SL2	10
SPSB4	3
GTF2H5	9
BCAN	3
CCDC6	5
GON4L	19
PTS	17
FCHO2	5
GFOD1	5
PIP5K1C	2
CASZ1	3
BBS9	10
DMXL1	5
PTN	10
AKAP13	5
CTR9	2
CEP72	1
SULT1C4	3
BBS12	6
KDM3B	19
ZNF512B	6
EFHB	1
DECR1	16
GRID2	10
CCDC82	5
DNAJB14	5
ENO3	3
CCDC121	6
RITA1	9
TGFBR3L	9
B3GAT1	19
JMJD4	6
GMEB1	4
CDC37	2
CBFB	7
LIN54	2
TTYH3	19
INTS7	2
PPFIA4	5
BAMBI	3
GBGT1	1
ATP13A2	14
ST6GALNAC3	10
CAMSAP2	10
KHSRP	6
DOCK1	7
INSIG1	23
KAT2B	7
CHST15	19
ALOXE3	1
BAG6	6
MSTN	1
BAG4	2
C18orf32	17
OSBPL5	25
TBL3	6
GNG11	3
MANEAL	6
ZDHHC15	2
MPDZ	10
ZDHHC5	18
B4GALT4	9
SUDS3	2
CEP78	5
B4GALT1	25
B4GALNT4	16
HDAC8	10
NEFL	14
NCAPG	11
B3GLCT	10
FAM117B	5
B3GALT6	6
EHMT1	2
LRRC39	3
NDUFAB1	17
GPAT3	16
PFKP	2
GALNT13	10
G0S2	9
P3H2	7
AURKAIP1	17
NATD1	1
DHRS1	9
DBNDD1	3
ATXN7L3	16
GADD45A	13
HSBP1L1	15
SCAF1	6
ATXN3	19
COL4A2	10
RNPEP	4
ATXN2	10
KIF19	3
BHLHE40	13
DDAH1	10
TTC36	1
ZSWIM7	2
NUDT4	12
KCNA5	18
PANK3	5
DYRK1B	6
LEMD2	4
FAM13A-AS1	7
OTUB1	18
MCEE	4
BAK1	1
NRBP1	4
ATP6V1F	17
FMR1	2
KLHL21	6
ATP6V1D	17
PSMD14	5
MAFK	3
TUBGCP6	4
ATP6V0E1	17
SDCCAG8	10
EYA1	8
IKZF4	2
ATP6AP2	14
ATP6AP1	14
ADIRF	3
ENAH	10
FOXN2	7
PTRH2	22
HR	3
AEN	1
MED27	5
PHYHIPL	10
DYRK3	3
PYGB	7
TMPO	11
DKK3	14
SNF8	15
KCNK1	10
MRPL15	9
ATP2A1-AS1	1
POLR2K	9
CTBP2	14
MAP3K14	4
GOT2	2
ATP1B2	3
GRB14	20
FIGN	10
NUDT6	4
FBXL20	5
FBXL2	10
ATP13A3	5
CHRNA6	3
HMGN5	2
SCD	7
CCNE2	11
SWT1	2
CYC1	15
AGMAT	1
BCHE	3
PDCL3	9
ATL2	5
EHD3	2
ARHGEF6	2
ZNF76	2
SLC25A30	1
LIPH	3
CCDC188	1
COL6A2	3
C2CD2L	23
ATG4D	9
DLG4	2
ATG4C	7
ATG4B	19
ATG16L1	2
MXRA8	3
PALM3	1
ISCA1	17
FST	3
LINC01572	22
AP1G1	5
FYCO1	3
ATG12	2
NSG1	17
ATG101	9
ACAT1	2
ADAP2	25
COL9A3	3
CLHC1	2
BET1	4
VPS13C	10
ATXN7L2	1
EMC6	9
BICDL1	5
SLC25A25	4
CUEDC2	9
SIGIRR	8
GSS	9
ATCAY	14
ATAD5	22
ETHE1	9
WLS	10
CHST11	10
FYN	10
CENPE	11
ATAD2B	5
CYCS	17
C15orf40	4
NID1	3
ATAD2	2
MCCC2	2
LRP2BP	2
PHF2	4
LINS1	2
CD46	5
CPT1B	1
MTG2	2
ASTE1	9
ASS1	3
PIWIL4	4
IQSEC2	19
FUT10	3
CMC2	5
SLC9B2	5
B3GNTL1	4
MAP2K3	6
FLYWCH2	15
SLC35B3	2
ZC2HC1C	16
CCDC78	8
NIM1K	5
NFKBID	1
KCNB2	10
ARMC7	6
ZNF827	10
EIF5AL1	1
ELF3	1
ASIC3	1
PTBP3	19
ASGR1	9
CHM	5
BVES	3
RTF1	14
PTPRG-AS1	10
PTH1R	3
ASCC3	5
GAS5	17
COL4A4	3
NUBP1	9
ASB6	6
YTHDC2	5
EPHA8	3
DCTD	4
JAKMIP3	19
ANAPC11	17
GRINA	14
SCRIB	1
SMAD4	2
RHOXF1	1
ASB14	1
CRYZL1	2
MC1R	1
FAXC	14
UROD	9
FNDC9	3
ASAP3	3
ZNF587B	2
CALB1	8
PPL	4
ARV1	2
CHST5	1
MIIP	1
HMGB2	11
APRT	9
RRAGD	2
ART5	9
RAB9A	18
PTK2	10
TRMT1L	2
SNHG15	9
CEL	1
AK7	1
RNF34	19
LRRD1	4
TCTN2	4
ARSD	3
MBD6	1
FAM219A	5
SDK1	10
TMEM254	2
ARRDC3	6
TSN	9
DYNC1LI1	17
ZCCHC9	9
ARPC5	17
GSTA4	14
AKR1A1	9
TMEM144	7
CEP41	6
FCHSD1	3
LINC01011	4
KDM2B	2
BSG	14
BRI3	17
DROSHA	5
MAPK9	5
RIN2	10
PALB2	4
KPTN	1
C10orf105	3
ARNT	5
INTS1	2
DCAF17	2
FBXO44	16
FRMD4B	10
MIR99AHG	10
ATP6V1C2	3
CRTC2	6
TIMM23	2
C1QTNF9B	3
GTPBP2	4
ARMCX3	17
AP1B1	2
AP3M1	4
PTPN23	18
DSG2	3
HCK	25
CEP135	11
SGSM1	5
ARL5B	6
GTPBP3	9
JAGN1	9
C16orf96	1
ARL16	9
CEBPA	6
ARL15	10
ANKRD9	15
ERI2	4
PRC1-AS1	4
TRPC4	19
LINC01356	1
BCAP29	5
ACSS3	3
ARL1	17
ITFG1	10
ARID5B	10
NGRN	12
PTRH1	1
EFL1	2
LIG1	11
BTRC	5
ARHGEF40	3
DERA	3
MRPL16	9
FBXW7	10
BCL7A	2
MSRA	10
ASL	9
ETFRF1	2
TCF4	10
APBA1	10
ARHGEF18	2
LRRC57	4
BCAS2	9
MAVS	2
ARHGEF17	16
CSRP2	12
CFAP36	5
COMT	17
HIBCH	5
COL5A1	3
ANLN	7
ARHGEF10L	2
PRDM8	19
MAFA	3
PITPNB	5
PRAF2	6
ZNF480	9
EPG5	5
CNP	7
ZNF777	4
CCDC62	2
ARHGAP42	3
GNA11	6
NREP	10
CFAP44	20
RPL3	12
ARHGAP35	5
SCOC-AS1	3
PNPLA2	6
SNX25	10
TCEAL3	17
SLC16A14	2
OTOF	8
TIGD3	6
EEF2K	2
C21orf91	7
TP53INP1	3
CLPP	9
BAZ1B	14
ARHGAP23	7
NEK7	7
RPL18A	12
ARHGAP18	22
ARHGAP17	19
TOP1	5
FLII	18
NCOA6	5
MOB3C	1
POLR2J	9
OXTR	1
ARFGEF2	5
ARFGEF1	5
NEU3	4
MRPL44	9
ARF3	12
ANAPC5	5
CCR10	1
LRGUK	20
ARF1	14
PDE3B	5
CEP76	4
CCDC153	3
CLEC18B	1
PPP1R21	10
KIF14	11
ARCN1	6
CABP7	3
CCDC14	5
MPC1	17
AR	3
PRELID3B	6
AQP8	1
NAA20	17
EIF4G2	14
CELF1	5
CCDC30	20
CHTOP	2
ZNF687	6
DNM2	7
ATP6V1G1	17
AVEN	7
FAM118B	2
IGF2BP3	3
ARL8B	5
CDK5	9
PPTC7	2
AQP11	4
CATSPER2P1	1
KDM1B	2
APPL2	5
ACYP1	4
TRIM59	7
CEP170B	23
PAFAH1B1	5
TRAK2	5
APP	10
AKAP8	4
ANKRD18A	7
SYNJ2BP	4
APOOL	2
APOO	17
PLD5	10
COPS9	17
ARHGAP31	3
TPR	14
CENPJ	2
CMPK1	2
ATXN1L	4
APOE	3
TXLNG	19
ZFAT	2
APOC1	3
CAPNS1	23
NUDT12	9
DLG2	10
DNAJC6	10
KRI1	6
CENPO	1
MYSM1	5
DIS3	2
CFP	1
NGDN	9
APLP1	14
RCHY1	2
PUM1	5
PTOV1	15
AVL9	5
CTDSPL2	5
SAYSD1	6
BPNT1	4
BACE1	7
CCBE1	10
NPM2	16
MAGI2	10
ERAS	6
MYOF	3
BTNL9	20
CHPF2	6
MED1	4
SLC35D2	7
CHST6	1
PDIA5	19
SH2D3A	1
PATZ1	6
AAR2	9
ADD1	5
FAM13B	10
EPS8	7
C5orf63	3
FAM216A	2
MKLN1-AS	1
ABCC4	25
CACNA2D2	8
CLDN1	3
GPRC5B	7
TBXAS1	25
KREMEN1	4
PRR12	2
LRRC4	6
RBX1	17
RAB2A	5
RPS15	12
ELAC2	4
CCDC138	5
CASP2	6
DLGAP1	10
ARIH2	5
ACBD5	2
IPMK	2
LINC00937	19
NPAS1	3
ESPN	1
MYO3A	8
PREX1	7
ATXN7L3B	17
CFAP69	20
PLEKHA6	5
CCDC183	18
BCL2L13	19
ABHD8	2
FAM185A	19
NARF	16
EPHA10	3
MRPL32	9
DPP10-AS1	22
DLD	2
LARP7	2
TBL1X	7
ARL2BP	6
GGN	6
MRPS26	15
CPT2	6
PTPN2	5
CFAP70	20
CDH8	10
HMGA1	6
FITM2	9
ISL1	3
ADIPOR1	6
C11orf65	1
KDM7A	2
BBS10	6
AMBRA1	5
DHDH	1
FEM1B	2
L2HGDH	5
COQ9	2
C6orf120	6
NAP1L4	7
BNIP3	17
DHODH	9
GOSR1	19
ANAPC1	2
GHDC	6
ISG15	3
TYRO3	19
CHFR	19
PNISR	14
CDK11B	4
DST	10
CCNY	10
THAP7-AS1	1
NUFIP1	2
CHTF8	6
TARBP2	9
ASB8	2
KIF13B	7
TANK	5
METTL1	9
ZNF77	6
MAST4	10
DAZAP2	9
EEF2	12
FAT1	3
CACNA2D3	10
RFC5	3
SOX7	1
UNC119B	6
ANKRD39	4
KCNJ16	3
ANKDD1A	2
ARMT1	6
ADGRG1	3
BCORL1	4
ANG	9
GPR137	6
ZNF528	2
KAT8	18
KCTD19	1
NF1	10
TWF1	6
RASGEF1A	2
GK	2
IGFBP3	3
EXOSC10	2
RFK	17
TIAM2	5
MID2	4
ITGA8	10
KCNJ5	3
DGKD	8
CERK	8
PSMD12	17
ANKRD34B	8
ABCA2	7
SUGP2	5
COPS3	9
KIAA1614	3
NDNF	3
FCHSD2	10
NUP93	10
ASH1L	10
B3GNT5	25
NR2E3	1
ZNF710	25
NMT1	2
SETDB2	2
AP4M1	4
FXR2	16
ELK4	2
PYGO1	3
COL13A1	3
CTBP1	2
GNE	2
ABCG4	3
CCDC17	1
ACP6	3
GGA3	2
ALYREF	11
AHSA1	9
TCEA3	3
GLRA2	8
MRPL41	16
ZFHX2	2
GUCY1A2	10
SUSD2	3
FAAH2	5
ZDHHC11B	16
CTSK	1
SFPQ	14
GYS1	2
OPCML	10
ABCB8	2
CYB561	23
PDLIM5	3
C1QTNF4	6
EIF4E3	2
C3orf80	19
BRPF1	6
PSMC6	17
SOX13	3
CPNE9	16
HAUS6	9
CHMP2B	2
CEBPZOS	2
CSPP1	5
RAB23	18
ABHD15	4
AMACR	6
LRRC59	6
SLC9A5	4
LGALS8	6
CPSF4	4
PCBD2	2
RNF167	9
FRS3	6
BCAS3	10
EIF3M	17
AKAP8L	19
PMAIP1	3
BTF3L4	17
UBTF	4
RPL26	12
RNF146	14
RMDN1	2
CRYZ	3
POLM	6
CAPN10	4
CACNA1H	3
MRPL11	9
MPHOSPH9	5
KIN	2
ZNF571	4
ADD2	5
GYG2	3
KIRREL2	18
SPTBN5	6
CHRNA5	3
AMER3	4
UBE2A	9
NIPAL2	19
SUZ12	5
PPP1R13L	1
OMA1	15
DZANK1	2
ANKRD13B	4
ADGRL3	10
THBS4	3
CHD9	10
DNAJC8	17
MCM6	11
ERP29	17
CEPT1	2
ANKRD10	5
PROSER1	2
ATR	5
BAHD1	4
MKS1	1
USP31	10
GRAMD4	2
MAPK10	10
GLIS2	1
SLITRK1	14
SASS6	4
DENND4A	10
CAPN15	4
PIGB	2
DNAJC22	3
DALRD3	23
ZNF404	3
ATP6V1C1	14
BRMS1	9
GMPR	3
RBM26-AS1	1
CELSR1	3
DOLK	9
ECHS1	9
LRP10	3
ITM2B	14
ATP9A	5
MPPED1	10
CA10	10
GOSR2	2
AASDH	20
EIF2AK1	2
SYNPR	10
ACTA1	9
SNX33	1
SENP2	5
AP2M1	17
CACNG4	8
FBXO48	6
PRNP	14
CRTC1	19
ITGA3	2
MATN2	3
NIPSNAP1	18
GART	2
CTNNAL1	19
PNRC1	6
COMMD7	11
BAALC	10
OSGEP	16
NR2C2	5
PHC1	2
SOX1	3
SNRPF	17
SHC3	10
RPL37A	12
NPAT	2
CLK3	4
NAXD	2
ATP2B1	10
PRR19	9
PPP1R12C	4
ADCY6	2
FMNL1	4
SLC30A4	8
DCLK3	3
LEAP2	9
PEX5L	10
CHMP2A	9
BSN	19
PAAF1	2
KCNJ3	10
LRP4	3
EIF4ENIF1	2
LSM3	17
DNAJC5	2
NEK3	7
KIF2A	2
MIR7-3HG	19
ALDH6A1	9
FBXO41	2
HMGCR	23
PLPPR2	23
ZNF197	2
CAMK4	10
CDKN1A	13
CASP9	4
CIT	10
ADRM1	9
BEAN1-AS1	1
PCID2	2
MGAT4C	10
SLC22A15	7
NASP	17
SPRTN	9
URM1	9
DHX36	14
SAR1B	19
CKB	14
LINC01586	1
ABHD3	16
BCAS4	2
APBB1	5
CA12	8
TTC21A	2
CD160	1
F12	9
PHYKPL	7
PRPS1	6
USP39	4
TMEM176A	9
CEP120	2
JUN	13
DTYMK	11
EIF3D	9
DCTN4	19
RIMBP2	10
SERTAD4	3
NOC4L	6
LYRM1	9
OXR1	10
SERPINB1	3
FGF12	10
CEACAM19	1
PRKAA2	10
CAMK1G	13
C1QL1	3
AP2B1	5
GNPDA2	2
TP53BP2	3
ST3GAL5	19
ALS2	5
MYO3B	8
ANKS1B	10
RASA4	4
ETFA	2
FAM107B	7
ZNF131	5
UCHL5	17
LSM14B	6
RNF169	5
IREB2	5
BCO2	16
SMPD3	19
GLYR1	19
GINS2	11
BORCS8	4
TIGIT	1
NALCN	10
STAG2	5
KLF16	6
DDN	8
PPWD1	2
ZSCAN25	4
U2SURP	14
FAM78B	8
DKC1	6
ARHGAP45	1
MRPS15	9
DLC1	10
FRMD8	4
HMBS	9
CHAC2	9
IRX1	3
ACADSB	5
KHDC1	22
LARP4	5
CALCOCO1	19
TIMM10	15
GDPD2	21
ARL4D	9
XRN2	14
ANKRD16	2
ARAF	6
TCTE1	1
JPH1	5
POU3F4	8
H6PD	4
FBXO25	2
GAS1	11
C2orf72	19
C22orf39	4
MFSD2A	13
ALDH18A1	2
AFF2	10
KRBA1	1
GRSF1	2
FAM20B	2
DDIAS	1
GALNT1	5
GATAD2A	2
CRHR2	3
SLK	2
ZNF607	4
ABCG1	3
DEAF1	19
CDKN2AIPNL	9
C9orf72	5
ZFHX4	10
LRRN2	5
ARAP2	10
DDX55	4
MED12	6
GOLGB1	5
PLCG1	3
IGFBP7	3
UPF3B	17
CLVS2	10
PDE1C	10
ADPRM	9
KCNMB2	10
ARRB1	10
AP3B1	5
HARBI1	1
DDAH2	21
CCDC51	9
USP47	10
TF	7
ATP2B3	2
MINK1	19
MED24	2
ANKRD42	2
DCBLD2	17
YBX2	1
AHCYL1	14
RANBP2	5
LMO2	3
ANGEL2	2
GATAD1	2
CCDC88A	10
PRPF38B	2
FBLN2	3
CBL	19
UBL3	5
ALDH1B1	6
GTF2H3	2
FOXJ1	3
PYGL	3
YWHAB	14
GRK6	4
C12orf75	3
PLCB4	10
MCM4	11
FMN2	10
PRDM12	1
ANO8	6
RRAGC	6
SLC38A6	5
NUDT2	9
ASPH	10
TRIM5	3
NAXE	9
OLFML2A	3
RNASET2	2
RBP4	3
CASKIN1	2
GLE1	4
MIR940	18
DPH3	9
TBC1D16	3
CCDC96	6
KLHDC4	4
FZD4	1
STIP1	9
AGBL4	10
JRK	4
PRPF18	2
SASH1	10
ZNF442	1
KLHL12	18
DPY19L2	5
AFDN	5
CDADC1	2
C2orf49	9
EPS8L2	3
NEIL1	16
CNN2	3
LYPD3	9
MIR17HG	1
POU3F3	12
KLHDC8A	3
EXOSC3	2
AMZ1	3
PRICKLE1	10
ATP6V1A	14
C1S	3
MRM2	9
GRK3	10
GINS1	4
CDK12	5
ARMCX1	9
GXYLT1	2
THSD7B	8
AHI1	10
HSD11B2	6
ARHGEF39	11
EEF1A2	17
CCNI2	1
ADCY3	5
ANKRD13C	5
CHIC1	5
ALDH7A1	3
FAM220A	6
UBE2D4	4
BTG1	13
COQ6	4
ARMC9	5
S100A10	3
SYTL4	3
ENOX1	10
HOPX	19
GRB10	5
RASGRF2	10
CYLD	5
ACTR1A	2
BCLAF1	14
IBA57	1
OTUD1	6
REV1	5
BCKDHB	5
CERS2	7
PPM1H	10
CDK20	9
PWP1	17
MAPKAPK5	18
EXTL3	5
DDX59	4
SDR39U1	9
TSPAN33	21
EBF3	3
PTRHD1	9
PIK3R1	10
PACSIN1	14
FZD9	6
ACD	9
C2orf69	2
GTPBP4	9
RIT2	10
ABHD10	6
EGFL6	3
DIO3	6
KBTBD6	23
GAP43	14
ALG5	2
CCP110	7
RNASEK	17
PUS1	4
SMIM20	9
TBC1D9	5
DRD2	8
CDK5R2	17
CAD	6
HAPLN2	7
ATXN1	10
PNKD	17
TRIAP1	9
IL20RB	1
CHRNB4	3
RPL17	12
CD14	3
LRPPRC	5
PIBF1	5
CAMK2D	10
CUTA	17
ABTB2	7
CHSY1	5
CASKIN2	6
PLIN5	3
CCT4	17
ABHD11	1
ZNF580	4
CDK1	11
RANGRF	9
DNAAF1	3
TMEM106C	9
TXNL4B	4
ALDH3A2	19
MAP3K7	5
DUSP22	3
ARHGAP36	3
GEN1	20
ARF6	6
FAM200B	17
CACNA1I	19
ERAP2	1
PTENP1-AS	6
CHCHD5	15
SENP6	5
EMSY	5
ARID2	5
QRICH1	19
RNF181	9
METTL4	26
CD36	3
NISCH	19
CDC123	17
ABHD12	7
ZC3H3	2
AGAP1	10
ADCY9	5
SMPD2	1
FOXD4L1	1
ATF4	9
CRTC3-AS1	1
CCDC144NL	2
ENTPD2	3
E2F5	3
SELENOS	9
ACADS	1
HPS6	6
EP300	5
PLD6	6
BCL6	3
AUP1	9
ADAM32	2
FHL2	2
SPAG7	9
MRFAP1	17
CNN1	6
CFAP53	1
DIP2A	8
CSMD2	10
SGMS1	10
MRPL4	15
CACNG7	14
ALG13	5
MAMSTR	1
MAGEF1	15
AP1M1	2
RUVBL1	9
BID	9
DUSP19	4
NEFH	16
GABRA2	10
VWC2	10
CD34	13
CELF4	10
FTSJ3	9
TPD52	7
ABHD18	5
ISM2	1
FAM131C	3
CETN2	9
PNPLA4	9
ALG8	2
ACAD10	2
CENPV	17
MRPS21	17
PRKCB	10
AIMP2	9
DYRK2	3
MTMR8	3
ARL3	17
MASP2	22
C6orf118	3
E2F4	4
PRIMPOL	2
KXD1	9
ANXA5	3
CDYL	5
PRPF4	6
LDB3	7
FAM227B	1
NDUFAF3	9
FN3KRP	9
HSPA4L	14
ADHFE1	3
NEMF	5
ACOT13	11
ADAM33	3
LINC00649	1
SMKR1	6
NOS3	1
CACYBP	17
CARMIL3	3
ANXA6	16
ECE2	8
CHST7	3
PSMG3-AS1	4
PANX1	3
ATP6V1E1	17
WNT11	3
COX11	17
CABIN1	5
ADCY2	10
RHBDD1	5
SRPK1	5
NDUFA2	17
TIPIN	4
SLC2A4RG	21
VPS41	5
SEC22B	2
BEST4	1
C20orf96	9
CNR1	3
TNRC6A	10
ESRRA	16
ASXL1	5
ZNF775	1
CNTN3	10
MTMR3	5
RABL2A	20
TBL1XR1	10
CFAP20	9
ATP6V0B	17
PANO1	4
CBLB	10
CCAR1	19
MOSPD3	9
RPAIN	17
ATP2A1	1
AARS2	6
LUZP2	10
OPRM1	10
ANKRA2	6
BLACAT1	1
PI4KB	2
B9D1	2
KCNA2	16
CHRNE	1
ABI2	10
SDHC	2
LRFN5	10
PKNOX1	19
C18orf21	9
AIG1	10
VIM-AS1	3
RAB11FIP5	1
PEX12	6
TRIP12	5
ATPAF2	4
ABHD17A	7
BEND6	5
APC	10
CDS2	19
A1BG	1
TM9SF2	2
AZI2	14
STX10	9
ARFRP1	4
NOS1AP	10
ERC2	10
EFCC1	3
ANKRD17	10
EPHA2	1
CREBZF	5
ADCY1	10
APEX1	15
ACBD7	3
ANO6	10
MCOLN1	15
MICAL2	10
ZHX1	4
B2M	13
PDZD2	10
MAU2	19
TNRC6C	10
KLHDC2	17
BABAM1	9
FSTL3	4
EIF3K	17
SLC29A4	8
ARL6	16
COX6A1	12
M6PR	4
KRTCAP2	15
FBXO5	11
CA14	7
FAM110B	10
ELOVL4	16
BRICD5	1
TADA2B	6
GM2A	6
CCDC149	8
GALC	2
ATG13	7
C2CD4C	21
PCDHGA11	3
XYLT1	10
PSD	19
BRMS1L	2
ECM1	3
WASF3	10
PPP1R3B	3
ARHGAP12	10
SLC27A3	21
B4GALNT3	19
TP53RK	6
GDF15	1
CBX1	17
CCDC9	1
IDNK	3
BCL3	1
ADAMTS18	7
PARP16	2
CDHR3	10
COL28A1	2
PCDHA4	1
COPS5	4
BCKDK	6
RNF180	5
LYPD1	3
PALM	2
GGA2	5
RAB3IL1	6
POGZ	10
DND1	1
MTHFR	2
CCL25	1
SMC3	17
CEP164	7
GNAO1	10
SPECC1	5
RRM2B	6
CCNG1	9
ANKS6	16
RECQL	18
PLEKHD1	3
AGAP3	14
KCNMB3	11
RARRES2	3
C18orf54	11
NYAP2	10
ABCA7	4
MTIF2	9
CARF	2
ANAPC10	2
TOPBP1	2
BCAP31	9
ARPC4	6
BEX5	9
GLB1	5
EVC	3
BLM	3
MGAT3	2
ATP1A1-AS1	3
EIF4G3	10
SCARA3	3
ZNF532	5
ZNF445	2
TMEM213	1
IGSF9B	19
B3GALNT1	17
KLHDC8B	9
RYBP	7
ITPK1	20
SSTR2	12
CAPN2	3
CCDC50	14
CHCHD7	9
SOX9-AS1	4
PRRG3	4
CD72	1
ASPM	11
DENND1C	1
AKT1S1	4
HMGN1	14
ARF4	17
KCNJ9	8
KANSL1L	5
ARMC12	1
ABHD2	10
C12orf43	9
BORCS6	6
CRIP3	1
ABCC1	2
FZD1	6
EMILIN1	6
CCZ1B	1
CCDC90B	17
COPS7B	4
LIMA1	2
GLT8D1	9
LINC00662	5
CDK9	8
EMC2	16
CCPG1	10
BRD9	4
ALKBH6	4
FABP5	11
APH1B	2
ATP2A2	14
LOXL1	3
RPS7	12
RBM27	2
EDEM2	6
CFAP221	20
ASF1A	6
ADAM22	10
LFNG	3
ZNF418	1
MAP3K13	10
CARS2	19
NAALAD2	5
MDFIC	10
VDAC3	17
CDKL5	10
CEP57L1	2
EZR	3
TRMO	1
OSBPL3	10
ZNF319	6
TIGAR	2
ARHGAP28	8
GPX3	3
NUTM2B-AS1	5
NOVA2	19
P2RX5	4
MAGI1	10
SYT13	14
BAG5	6
ABCD1	1
RPS6	12
AAK1	10
